Treatment,Number_CDR3,H
On,3,1
On,2,1
On,5,0.700544722
On,4,0.960964047
On,2,0.994030211
On,3,0.94639463
On,12,0.382982752
On,3,1
On,1,0
On,2,1
On,3,0.960229718
On,9,0.408081321
On,2,1
On,2,0.918295834
On,1,0
On,3,1
On,16,0.833316441
On,4,1
On,7,1
On,8,0.917811462
On,2,0.386018901
On,2,1
On,2,1
On,4,0.43975323
On,3,0.94639463
On,2,0.918295834
On,2,0.918295834
On,5,0.9697239
On,4,0.660803479
On,4,1
On,1,0
On,2,0.811278124
On,2,0.222284831
On,1,0
On,1,0
On,10,0.833281754
On,2,0.353359335
On,5,0.916516443
On,10,0.975006431
On,5,0.736252917
On,3,0.547894811
On,1,0
On,3,0.812040681
On,3,0.789690082
On,2,0.721928095
On,2,0.811278124
On,9,0.938488292
On,2,1
On,8,0.973976032
On,6,0.693111596
On,5,0.9697239
On,4,1
On,1,0
On,1,0
On,9,0.927412799
On,8,0.971325691
On,9,0.862310178
On,3,1
On,1,0
On,1,0
On,4,0.221289496
On,1,0
On,1,0
On,4,1
On,7,0.957742056
On,1,0
On,8,0.867075827
On,1,0
On,3,1
On,9,0.548248763
On,5,0.928383212
On,1,0
On,10,0.37131446
On,9,0.806975268
On,3,1
On,6,0.17750445
On,8,0.931551158
On,1,0
On,10,0.752574989
On,1,0
On,3,1
On,3,0.94639463
On,1,0
On,3,0.94639463
On,10,0.859938304
On,1,0
On,5,0.701236304
On,8,0.641285397
On,5,0.9697239
On,2,1
On,3,1
On,2,1
On,2,1
On,1,0
On,2,1
On,3,1
On,2,0.918295834
On,7,0.878495226
On,4,0.959147917
On,9,0.914864452
On,13,0.948829241
On,2,1
On,10,0.667001813
On,2,1
On,8,0.894196244
On,4,1
On,1,0
On,2,1
On,1,0
On,2,1
On,9,0.984858662
On,1,0
On,3,0.729846699
On,4,0.905639062
On,1,0
On,5,1
On,1,0
On,2,1
On,1,0
On,1,0
On,1,0
On,2,0.918295834
On,2,0.721928095
On,1,0
On,3,0.403925287
On,7,0.903558091
On,8,0.916313349
On,8,0.838497402
On,4,0.921185497
On,18,0.529041391
On,2,1
On,1,0
On,10,0.978837914
On,2,1
On,1,0
On,4,0.83224889
On,6,1
On,2,1
On,2,1
On,3,0.960229718
On,6,0.91016631
On,9,0.728328345
On,3,0.353496893
On,13,0.766411329
On,13,0.907052315
On,4,0.570033881
On,6,0.310657148
On,1,0
On,1,0
On,2,0.391243564
On,2,1
On,4,0.975031878
On,4,0.875
On,1,0
On,4,1
On,7,0.856325553
On,3,0.86991553
On,6,0.975503759
On,7,0.942680715
On,4,0.876357639
On,1,0
On,1,0
On,1,0
On,3,1
On,2,1
On,5,1
On,3,0.86991553
On,4,1
On,3,1
On,1,0
On,1,0
On,1,0
On,4,0.77439747
On,12,0.907467209
On,1,0
On,2,0.503258335
On,3,0.864973521
On,1,0
On,2,0.985228136
On,2,0.41381685
On,1,0
On,2,1
On,2,0.811278124
On,2,1
On,2,0.945660305
On,2,1
On,1,0
On,1,0
On,2,0.918295834
On,1,0
On,3,0.960229718
On,4,0.959147917
On,3,1
On,3,1
On,1,0
On,3,0.86991553
On,1,0
On,3,0.960229718
On,1,0
On,3,0.94639463
On,3,1
On,2,1
On,2,1
On,1,0
On,4,0.521172161
On,1,0
On,4,0.960964047
On,7,0.890410444
On,3,0.669591946
On,6,0.917208893
On,8,0.884514766
On,4,1
On,6,0.835975008
On,1,0
On,3,0.920619836
On,3,1
On,2,1
On,1,0
On,1,0
On,1,0
On,3,0.960229718
On,2,1
On,3,0.960229718
On,3,1
On,3,0.94639463
On,1,0
On,2,1
On,1,0
On,3,1
On,4,0.960964047
On,1,0
On,1,0
On,1,0
On,2,1
On,1,0
On,4,0.599851767
On,1,0
On,2,1
On,1,0
On,5,0.9697239
On,5,0.399269256
On,1,0
On,2,0.439496987
On,1,0
On,10,0.821035631
On,3,0.94639463
On,8,0.79866629
On,5,0.915538508
On,4,0.896240625
On,5,0.843759082
On,4,0.960964047
On,6,0.717335695
On,3,0.86991553
On,5,0.9697239
On,3,0.94639463
On,6,1
On,1,0
On,15,0.890780252
On,5,0.393855707
On,1,0
On,1,0
On,1,0
On,11,0.710439673
On,7,0.856325553
On,2,1
On,2,0.591672779
On,1,0
On,29,0.961094774
On,5,0.9697239
On,17,0.204288215
On,2,1
On,18,0.85539961
On,3,0.94639463
On,27,0.820696706
On,20,0.65148919
On,12,0.895042827
On,7,0.898328913
On,15,0.26230035
On,3,0.94639463
On,21,0.243809769
On,9,0.920619836
On,8,0.982567593
On,6,1
On,2,1
On,8,1
On,1,0
On,2,0.591672779
On,1,0
On,6,0.882425224
On,9,0.93151085
On,9,0.936589529
On,8,0.917811462
On,9,0.883315731
On,10,0.911711279
On,8,0.973976032
On,3,0.94639463
On,4,0.905639062
On,16,0.863302956
On,4,0.959147917
On,1,0
On,4,0.577007887
On,1,0
On,3,0.789690082
On,3,0.362676179
On,1,0
On,17,0.877063019
On,6,0.324347632
On,3,0.864973521
On,1,0
On,6,0.485818315
On,1,0
On,17,0.874595784
On,6,0.700724453
On,6,0.684553835
On,7,0.23189373
On,11,0.916118324
On,1,0
On,2,1
On,1,0
On,4,0.921185497
